score,Pr1,Pr2,Pr3,Pr4,Mi1,Mi2,Mi3,Mi4,Mi5,Mi6,Mi7,Po1,Po2,Po3,Po4,Po5,Po6,Po7,Po8,Po9,Po10
93,2,2,2,2,3,6,15,4,6,36,5,,,,,,,,,,
94,3,2,2,2,2,16,20,5,5,8,3,3,3,2,2,7,6,5,3,11,5
88,3,2,2,3,2,21,20,4,6,12,5,,,,,,,,,,
96,4,2,4,3,2,11,14,5,6,20,5,2,3,3,2,7,6,4,4,4,5
96,2,1,2,3,2,13,13,5,6,19,5,3,3,3,3,7,6,5,4,9,5
95,4,1,3,3,2,11,11,4,6,14,4,,,,,,,,,,
93,2,1,3,3,2,13,3,4,6,33,4,,,,,,,,,,
74,3,1,3,3,2,13,11,5,6,8,5,,,,,,,,,,
96,2,3,1,2,2,16,13,5,5,17,5,3,2,2,2,6,6,3,4,9,5
95,4,2,2,3,3,21,13,4,6,12,4,,,,,,,,,,
95,2,2,2,1,2,14,11,5,6,12,5,,,,,,,,,,
96,2,3,1,2,2,11,15,5,1,8,5,2,3,2,2,3,3,2,4,4,3
88,2,4,1,1,1,15,10,1,4,12,3,,,,,,,,,,
96,2,3,3,2,2,13,12,4,5,6,3,,,,,,,,,,
96,3,2,1,2,2,8,12,3,6,12,5,3,3,2,2,7,6,5,2,21,2
96,1,2,1,2,2,13,11,4,6,12,5,2,3,3,2,7,6,1,4,9,3
96,2,2,2,2,2,9,12,4,6,18,5,,,,,,,,,,
95,2,2,2,1,2,10,13,4,5,20,5,,,,,,,,,,
96,2,4,2,3,3,9,13,5,6,13,5,3,3,3,3,7,6,5,4,14,5
96,2,2,1,3,2,13,6,5,6,9,5,1,3,3,1,7,6,3,4,9,5
95,3,3,2,2,2,12,13,4,6,15,5,,,,,,,,,,
81,2,1,2,2,2,15,15,4,1,21,4,1,3,2,2,6,5,2,1,4,3
91,2,3,3,3,2,13,12,3,4,6,2,3,3,2,2,7,6,3,4,7,3
94,3,1,2,3,3,15,15,3,6,19,5,,,,,,,,,,
95,4,1,3,3,3,21,15,5,6,12,5,,,,,,,,,,
96,2,1,2,2,2,11,11,5,4,11,4,2,2,2,2,7,6,5,3,5,3
96,3,3,3,2,2,13,13,4,6,18,5,3,3,2,2,5,6,4,4,11,5
87,3,1,3,3,2,13,11,4,6,12,5,,,,,,,,,,
95,4,1,3,3,2,13,12,5,5,11,5,,,,,,,,,,
96,1,1,3,3,2,9,11,5,6,6,2,,,,,,,,,,
91,6,2,1,2,1,18,13,4,6,22,4,,,,,,,,,,
91,1,2,2,1,1,2,15,1,4,15,1,,,,,,,,,,
95,4,3,3,3,2,13,12,5,6,22,4,2,2,2,2,7,5,3,4,11,5
90,2,1,2,3,2,14,12,4,5,18,3,2,2,2,1,3,4,3,4,9,5
96,2,2,2,2,2,6,16,4,6,15,5,,,,,,,,,,
90,5,2,3,2,3,12,15,4,5,21,5,,,,,,,,,,
96,1,3,1,1,2,10,15,2,5,18,4,3,3,3,3,5,4,5,3,12,3
92,3,3,2,2,2,13,13,5,6,12,5,3,2,2,3,5,5,1,3,13,3
95,2,2,2,2,2,13,12,4,6,16,5,2,2,2,2,4,6,5,4,6,3
96,2,1,2,2,2,12,12,4,6,13,5,3,2,2,1,6,6,4,2,9,3
96,2,2,2,2,2,9,13,5,6,16,5,3,3,2,2,7,5,4,4,9,5
93,2,2,3,3,2,11,17,4,3,19,3,3,2,3,2,7,4,5,3,9,3
86,3,2,2,3,3,9,15,4,3,13,5,,,,,,,,,,
